local	gen	bloco	np	bact	antfo	antva	manfo	manva	rend	mmg	def	dem
CH1ES	ANFc 9   	1	71	1	1	1	1	1	3612,45210727969	292,310344827586	41	95
CH1ES	ANFc 9   	2	57	1	1	1	1	1	4164,79885057471	287	42	95
CH1ES	ANFc 9   	3	94	1	1	1	1	1	4294,00383141762	259,289655172414	40	95
CH1ES	ANFc 9   	4	86	1	1	1	1	1	3473,4993614304	290,620689655172	42	95
PS1ES	ANFc 9   	1	67	4	3	6	1	6	3537,93	251,59	NA	NA
PS1ES	ANFc 9   	2	70	5	2	5	4	4	3551,76	257,31	NA	NA
PS1ES	ANFc 9   	3	89	1	2	5	4	7	5142,50	266,46	NA	NA
PS1ES	ANFc 9   	4	79	2	1	6	1	4	4409,88	271,93	NA	NA
CA1ES	ANFc 9   	1	76	1	1	4	1	1	2057,23180076628	269,310344827586	42	112
CA1ES	ANFc 9   	2	70	2	1	4	5	1	1865,49169859515	274,868965517241	41	112
CA1ES	ANFc 9   	3	81	3	1	1	3	1	4319,77011494253	239,834482758621	42	112
CA1ES	ANFc 9   	4	73	2	1	1	2	1	3189,89463601533	259,827586206897	43	112
CN1ES	ANFc 9   	1	63	NA	NA	NA	NA	NA	3872,31162196679	284,193103448276	39	84
CN1ES	ANFc 9   	2	65	NA	NA	NA	NA	NA	3116,39846743295	288,331034482759	38	84
CN1ES	ANFc 9   	3	75	NA	NA	NA	NA	NA	3238,15134099617	265,820689655172	39	84
CN1ES	ANFc 9   	4	54	NA	NA	NA	NA	NA	3254,34227330779	275,218390804598	39	84
CH2ES	ANFc 9   	1	100	5	1	1	4	3	2657,93103448276	254,772413793103	32	82
CH2ES	ANFc 9   	2	90	5	1	2	3	2	2767,07535121328	258,841379310345	32	87
CH2ES	ANFc 9   	3	89	5	1	1	4	2	2847,68199233716	253,868965517241	30	82
CH2ES	ANFc 9   	4	86	3	1	1	3	3	3053,89527458493	274,850574712644	32	93
IT2ES	ANFc 9   	1	70	NA	1	NA	5	3	2567,0	208,9	38	88
IT2ES	ANFc 9   	2	79	NA	1	NA	5	2	2652,2	213,0	38	90
IT2ES	ANFc 9   	3	76	NA	1	NA	4	2	1361,1	205,3	38	101
IT2ES	ANFc 9   	4	80	NA	1	NA	5	3	2176,2	206,0	38	101
UR2ES	ANFc 9   	1	50	1	1	1	5	6	1862,62	NA	41	96
UR2ES	ANFc 9   	2	55	1	1	1	6	6	1964,52	NA	41	94
UR2ES	ANFc 9   	3	53	1	1	1	5	6	2769,27	NA	41	94
UR2ES	ANFc 9   	4	46	1	1	1	5	4	2520,31	NA	41	94
XA2ES	ANFc 9   	1	63	4	4	9	4	1	2097,39463601533	NA	NA	NA
XA2ES	ANFc 9   	2	89	2	2	1	3	4	1686,63793103448	NA	NA	NA
XA2ES	ANFc 9   	3	76	3	1	3	3	2	1652,98850574713	NA	NA	NA
XA2ES	ANFc 9   	4	82	3	3	6	4	3	2020,31928480204	NA	NA	NA
CH1ES	Avaluna	1	105	1	1	1	1	1	3369,88825031928	234,101149425287	40	95
CH1ES	Avaluna	2	98	1	1	1	1	1	4019,42528735632	239,172413793103	38	95
CH1ES	Avaluna	3	88	1	1	1	1	1	3591,4367816092	240,634482758621	39	95
CH1ES	Avaluna	4	82	1	1	1	1	1	2931,89974457216	234,990804597701	40	95
PS1ES	Avaluna	1	101	4	5	6	3	5	5262,93	232,91	NA	NA
PS1ES	Avaluna	2	92	5	4	6	5	4	4029,12	240,74	NA	NA
PS1ES	Avaluna	3	83	5	1	5	7	7	3250,04	233,60	NA	NA
PS1ES	Avaluna	4	99	3	3	5	5	5	4916,90	238,82	NA	NA
CA1ES	Avaluna	1	74	1	4	5	1	1	3494,8595146871	245,954022988506	41	93
CA1ES	Avaluna	2	72	1	1	5	1	1	3857,04022988506	229,696551724138	42	94
CA1ES	Avaluna	3	76	4	1	6	6	5	3912,15836526181	227,310344827586	42	94
CA1ES	Avaluna	4	78	3	1	1	3	4	4050,88122605364	252,547126436782	43	94
CN1ES	Avaluna	1	91	NA	NA	NA	NA	NA	3343,29821200511	234,990804597701	37	84
CN1ES	Avaluna	2	91	NA	NA	NA	NA	NA	3419,87867177522	222,685057471264	37	84
CN1ES	Avaluna	3	84	NA	NA	NA	NA	NA	2832,18390804598	207,558620689655	37	84
CN1ES	Avaluna	4	83	NA	NA	NA	NA	NA	3002,91187739464	228,468965517241	37	84
CH2ES	Avaluna	1	97	6	1	1	3	4	2522,19029374202	217,91724137931	31	82
CH2ES	Avaluna	2	96	5	1	1	5	3	2768,28544061303	229,6	31	82
CH2ES	Avaluna	3	98	5	1	1	5	3	3011,0632183908	239,793103448276	30	87
CH2ES	Avaluna	4	95	6	1	1	4	4	2857,26053639847	236,689655172414	30	82
IT2ES	Avaluna	1	80	NA	1	NA	7	5	2557,2	187,5	38	82
IT2ES	Avaluna	2	75	NA	1	NA	7	5	2825,0	207,4	38	85
IT2ES	Avaluna	3	79	NA	1	NA	7	3	2627,1	201,3	38	91
IT2ES	Avaluna	4	79	NA	1	NA	7	4	3096,6	195,1	38	91
