"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"1",1,1,1,239,225,84,0,1,0,3379.65517241379
"2",1,1,1,229,221,92,1,2,3,4847.02586206897
"3",1,1,1,341,258,124,0,0,2,7186.09195402299
"4",1,1,1,291,266,127,1,2,7,7545.34482758621
"5",1,1,1,211,236,123,1,1,4,5730.64655172414
"6",1,1,1,251,258,142.4,0,1,4,8102.09770114943
"7",1,1,1,215,250,118,0,1,1,6990.68965517241
"8",1,1,1,313,293.8,152,0,2,2,8044.13793103448
"9",1,1,1,220,265.8,133.2,1,2,2,8626.55172413793
"10",1,1,1,294,280.8,145.4,0,1,1,8323.73563218391
"11",1,1,1,240,266.6,128.4,1,2,1,6597.80172413793
"12",1,1,1,216,258.4,136.2,0,0,1,7223.59195402299
"13",1,1,2,231,286.4,148.2,0,0,0,8692.41379310345
"14",1,1,2,207,313.4,166.6,1,1,3,6683.54885057472
"15",1,1,2,271,315,158.6,0,0,0,8030.1724137931
"16",1,1,2,300,304.6,157.8,0,0,6,9731.25
"17",1,1,2,317,265.4,143,0,1,2,8651.4367816092
"18",1,1,2,255,263,154.8,2,1,1,8810.11494252874
"19",1,1,2,306,272.2,147.2,1,0,2,7997.77298850575
"20",1,1,2,245,267.2,137.6,0,0,1,8174.61206896552
"21",1,1,2,217,272,139,1,0,5,7758.33333333333
"22",1,1,2,327,275,142,0,1,2,6985.20114942529
"23",1,1,2,269,250.4,120.6,0,0,6,4972.75862068966
"24",1,1,2,297,246.8,123,0,0,3,5632.39942528736
"25",1,1,3,272,246.4,131.8,0,1,7,6900.64655172414
"26",1,1,3,339,254,126,1,0,6,6206.37931034483
"27",1,1,3,276,284.6,148.6,1,1,0,7494.13793103448
"28",1,1,3,311,262.4,132.2,0,0,1,7502.24137931034
"29",1,1,3,252,249.6,144.8,0,0,4,6688.36206896552
"30",1,1,3,218,276,150.4,0,0,4,9106.89655172414
"31",1,1,3,334,278.8,151.8,1,0,0,8604.56896551724
"32",1,1,3,330,286.8,159.6,0,0,3,9209.42528735632
"33",1,1,3,244,280.4,152.4,0,1,1,6886.25
"34",1,1,3,203,270.8,159.2,0,0,2,8008.59195402299
"35",1,1,3,310,288,151.2,1,1,2,7427.48563218391
"36",1,1,3,267,283.2,157,0,0,1,9537.5
"37",1,1,4,213,272,148.8,0,0,1,8317.81609195402
"38",1,1,4,226,305.4,160,0,0,0,10414.7126436782
"39",1,1,4,337,297.4,168,0,0,0,10027.6724137931
"40",1,1,4,225,285,152.2,0,0,2,5496.55172413793
"41",1,1,4,250,279,145.2,0,0,0,7966.0632183908
"42",1,1,4,286,282.8,158.6,0,2,1,8149.56896551724
"43",1,1,4,253,250.4,149,0,0,5,9100.86206896552
"44",1,1,4,285,283,146.4,0,0,2,7498.20402298851
"45",1,1,4,314,259.6,131,0,0,0,6391.69540229885
"46",1,1,4,263,257,134,0,1,0,7991.37931034483
"47",1,1,4,283,260.8,135.2,1,0,1,7333.79310344828
"48",1,1,4,299,246.4,119.8,0,1,1,7635.51724137931
"49",1,1,5,270,244.2,134.4,0,1,3,6110.99137931035
"50",1,1,5,212,241.2,134.8,0,0,2,7446.7816091954
"51",1,1,5,316,235.4,130,1,0,1,7305.51724137931
"52",1,1,5,305,254.4,153.2,0,0,3,7804.88505747126
"53",1,1,5,278,262.4,141.2,1,0,2,6881.0775862069
"54",1,1,5,304,270.8,154.8,1,2,1,9496.69540229885
"55",1,1,5,325,245.4,144.8,0,1,0,7253.01724137931
"56",1,1,5,343,271.2,160.6,0,0,0,7533.59195402299
"57",1,1,5,273,276,159.8,0,0,3,7282.75862068966
"58",1,1,5,258,277.8,151.4,0,1,0,9022.25574712644
"59",1,1,5,221,281.4,164.6,2,0,3,5452.94540229885
"60",1,1,5,323,249.6,145,0,0,2,9043.96551724138
"61",1,1,6,301,263.4,143.2,0,0,1,7441.12068965517
"62",1,1,6,324,259.6,155.8,0,0,0,7037.93103448276
"63",1,1,6,204,270.6,156.4,1,0,2,9333.79310344828
"64",1,1,6,208,267,161.4,1,0,0,7086.98275862069
"65",1,1,6,274,270,149,0,0,3,8363.79310344828
"66",1,1,6,275,266,154.8,0,0,1,6824.39655172414
"67",1,1,6,319,278.4,162.6,1,0,3,7344.4683908046
"68",1,1,6,288,266,164.8,0,0,2,7822.98850574713
"69",1,1,6,309,256.6,144.6,1,0,2,6538.70689655172
"70",1,1,6,210,264.8,141.2,0,0,1,8644.31034482759
"71",1,1,6,234,259,142,0,0,2,5537.84482758621
"72",1,1,6,329,266.4,144.2,0,0,3,6198.75
"73",1,1,7,326,235.6,127.6,0,0,4,6855.28735632184
"74",1,1,7,232,260.8,146.4,2,0,2,6511.4367816092
"75",1,1,7,266,253.4,139.6,0,0,3,6208.90804597701
"76",1,1,7,261,270.8,158.2,1,1,2,8581.33620689655
"77",1,1,7,202,249.2,149.6,0,1,2,7248.08908045977
"78",1,1,7,262,271.4,152.4,0,0,2,8220.1724137931
"79",1,1,7,256,266.8,164.8,0,1,2,9620.68965517241
"80",1,1,7,228,270.2,157,2,0,5,8855.63218390805
"81",1,1,7,335,272.4,162.2,0,0,0,7692.6724137931
"82",1,1,7,224,272,151.8,0,0,1,7766.37931034483
"83",1,1,7,318,275.4,151.4,0,0,3,6559.62643678161
"84",1,1,7,295,282.4,155.8,0,1,2,9439.54022988506
"85",1,1,8,260,300.4,160,0,1,0,8177.22701149425
"86",1,1,8,219,272.2,146.6,1,1,2,8316.02011494253
"87",1,1,8,249,274.2,145.8,0,0,4,8143.24712643678
"88",1,1,8,206,258.8,150.2,0,0,4,9254.02298850575
"89",1,1,8,277,263.4,152.6,0,0,1,8498.24712643678
"90",1,1,8,308,262,154,0,0,2,8295.60344827586
"91",1,1,8,268,277.4,153.2,0,0,2,7735.30172413793
"92",1,1,8,205,276.2,146,1,0,4,6494.39655172414
"93",1,1,8,320,248.6,143.8,1,0,4,7084.13793103448
"94",1,1,8,342,250,147.4,1,1,1,6874.97126436782
"95",1,1,8,302,250.2,139.8,0,0,6,6819.2816091954
"96",1,1,8,259,232,130.8,1,1,1,7516.20689655173
"97",1,1,9,331,246.4,139,0,0,2,6952.41379310345
"98",1,1,9,237,256.6,146.8,1,0,2,8238.76436781609
"99",1,1,9,236,246.8,139.6,1,0,0,7056.49425287356
"100",1,1,9,284,244.6,142.2,1,0,0,7710.56034482759
"101",1,1,9,279,259.4,150.6,0,1,0,6704.78448275862
"102",1,1,9,241,239.8,150,0,0,1,7398.85057471264
"103",1,1,9,265,273.4,156.8,0,1,0,9870
"104",1,1,9,312,264.8,148.2,0,0,1,8530.80459770115
"105",1,1,9,328,242.4,133.4,0,0,2,7308.10344827586
"106",1,1,9,254,282,159,0,0,0,8021.25
"107",1,1,9,223,263.2,140.6,1,0,1,7260
"108",1,1,9,293,266.8,157.4,1,0,1,9403.40517241379
"109",1,1,10,344,240,139,0,1,3,10743.4051724138
"110",1,1,10,307,256.2,138.4,0,0,1,6427.72988505747
"111",1,1,10,303,274.4,144,3,1,1,7939.33908045977
"112",1,1,10,222,245.6,140.2,0,1,0,6584.41091954023
"113",1,1,10,336,266.2,152.8,0,0,2,9634.88505747126
"114",1,1,10,287,272.2,150.6,0,0,3,8848.96551724138
"115",1,1,10,298,256.6,138.2,0,0,1,7279.94252873563
"116",1,1,10,292,242.4,130.8,3,1,0,4951.63793103448
"117",1,1,10,242,241.2,131.8,0,0,1,6559.91379310345
"118",1,1,10,315,245,127.8,0,0,1,7124.48275862069
"119",1,1,10,280,226.8,129.4,0,0,4,5906.16379310345
